gene_id	ControlSample	KnockOutSample
AT1G0 16613.444929 3592.556902
AT1G1 1194.782067 4629.797540
AT1G2 5447.589190 3986.878323
AT1G3 372.471786 16694.980346
AT1G4 418.590045 7275.912900
AT1G5 4057.496658 21854.458083
AT1G6 11756.592181 17034.042573
AT1G7 1576.259346 6993.161962
AT1G8 1099.128758 9604.648732
AT1G9 14222.275155 7033.326212
AT1G10 3769.124119 3705.865413
AT1G11 28.503800 4865.006439
AT1G12 3800.593463 1201.700735
AT1G13 2768.954405 10290.865871
AT1G14 7706.540056 146.952055
AT1G15 5631.985046 2830.989776
AT1G16 7369.214393 817.733604
AT1G17 17850.374828 14008.759850
AT1G18 6069.553514 14982.659627
AT1G19 7216.524277 3690.951506
AT1G20 9068.633198 6203.216163
AT1G21 11397.246742 6502.230689
AT1G22 638.213630 10930.783410
AT1G23 97.587207 21280.267495
AT1G24 1442.490310 22540.090701
AT1G25 3222.904080 2750.853145
AT1G26 3278.957488 1055.418928
AT1G27 1290.048219 12902.218665
AT1G28 4835.671010 1017.806330
AT1G29 5013.635792 1584.365856
AT1G30 3531.709586 2288.063112
AT1G31 18673.425703 22015.656484
AT1G32 225.968200 7984.123661
AT1G33 4905.189062 11735.452651
AT1G34 13079.764214 719.351787
AT1G35 223.444319 26722.300363
AT1G36 10356.302225 6428.046815
AT1G37 9815.979492 2487.327708
AT1G38 5376.003754 4107.554186
AT1G39 2190.897488 15805.965148
AT1G40 19083.747673 119.795831
AT1G41 822.718894 8790.765130
AT1G42 1777.322001 7171.513565
AT1G43 15103.739982 4545.745293
AT1G44 6078.866359 328.568926
AT1G45 5690.436018 1157.282479
AT1G46 2629.257424 4163.632771
AT1G47 2458.065737 1553.487930
AT1G48 4063.606494 1815.805658
AT1G49 1039.870113 6512.850673
AT1G50 16936.333811 14107.126865
AT1G51 14833.340709 9243.839167
AT1G52 4361.100681 22108.031007
AT1G53 1628.158879 2395.786981
AT1G54 9346.500961 3150.967345
AT1G55 8051.047456 14111.649892
AT1G56 5991.505905 15911.245033
AT1G57 6944.361827 756.625050
AT1G58 130.367748 5876.569475
AT1G59 14434.120182 6910.258278
AT1G60 28338.202216 18854.361675
AT1G61 8038.232124 7239.835932
AT1G62 16398.059816 4181.324778
AT1G63 1575.479019 1728.816492
AT1G64 605.631581 3859.277444
AT1G65 6221.788110 1635.392193
AT1G66 1517.313242 10511.920530
AT1G67 454.314585 11301.619587
AT1G68 6353.078219 1044.829402
AT1G69 18202.146916 4744.623585
AT1G70 84.484695 1439.111454
AT1G71 430.939360 15002.966399
AT1G72 1811.354411 1434.697928
AT1G73 11510.370190 1931.288186
AT1G74 957.940184 22894.475234
AT1G75 9919.379742 4347.614948
AT1G76 7122.263314 5565.554369
AT1G77 2928.697378 11729.994354
AT1G78 391.369427 14420.816065
AT1G79 19076.576617 13142.593249
AT1G80 18771.286233 5059.618885
AT1G81 44.072604 5088.017579
AT1G82 10354.764000 24838.801904
AT1G83 3.905576 12865.894101
AT1G84 19358.925748 1774.060732
AT1G85 818.275979 12066.078829
AT1G86 10593.615345 5104.116245
AT1G87 2005.210852 19684.515641
AT1G88 998.932340 5252.155889
AT1G89 4951.474044 1883.122349
AT1G90 10053.520402 3897.293924
AT1G91 4788.476821 3736.236152
AT1G92 23377.209082 91.068880
AT1G93 1315.129490 44.629627
AT1G94 205.923887 8076.716208
AT1G95 11452.533586 1215.720389
AT1G96 6514.146550 22553.478957
AT1G97 14417.669485 12015.355144
AT1G98 10326.919034 3320.722800
AT1G99 182.873196 2121.730705
AT1G100 3880.925077 5646.196722
AT1G101 3991.441359 18822.726768
AT1G102 20630.310648 11305.233680
AT1G103 8469.315958 1612.567522
AT1G104 2086.158940 7353.078036
AT1G105 4593.287759 308.330332
AT1G106 11908.914151 11665.216590
AT1G107 7258.903409 2523.298196
AT1G108 720.248726 5561.582507
AT1G109 8752.161687 32.856990
AT1G110 28323.386456 1809.362011
AT1G111 3098.321390 9456.613300
AT1G112 1569.513535 8587.604602
AT1G113 5282.481735 1647.763359
